,id_response,response_option,response_description
2102,2262,99999999.0,MISSING
2103,2263,3.0,"Yes, from my doctor"
2104,2264,2.0,stayed the same
2105,2265,3.0,"not agree, not disagree"
2106,2266,3.0,"Yes, from my doctor"
2107,2267,2.0,agree
2108,2268,0.0,No
2109,2269,0.0,No
2110,2270,4.0,"yes, but not in your own community"
2111,2271,6.0,No idea
2112,2272,2.0,No
2113,2273,1.0,Yes
2114,2274,4.0,No preference/don't know yet
2115,2275,1.0,Yes
2116,2276,8.0,No preference
2117,2277,8.0,
2118,2278,81.0,Age
2119,2279,1.0,Detached
2120,2280,10.0,One-room apartment/studio
2121,2281,11.0,"Otherwise, namely:"
2122,2282,2.0,Two under TTn hood
2123,2283,3.0,Houses in a row or semi-detached
2124,2284,4.0,Corner house
2125,2285,5.0,Flat/apartment without elevator
2126,2286,6.0,Flat/apartment mTt lift
2127,2287,7.0,Self-contained senior residence
2128,2288,8.0,Residential care complex / nursing home / sheltered housing
2129,2289,9.0,Room occupancy/student housing
2130,2291,1.0,Owner-occupied home
2131,2292,2.0,Rental property of a housing association
2132,2293,3.0,Renting a house from a private landlord
2133,2294,4.0,No preference/don't know yet
2134,2295,1.0,Existing house
2135,2296,2.0,Newly built house
2136,2297,3.0,Develop and build a building plot yourself (private)
2137,2298,4.0,Developing and building a building plot with a group (collectively)
2138,2299,5.0,No preference for existing or new construction
2139,2300,6.0,DIY house
2140,2301,7.0,"Something else, namely:"
2141,2302,8.0,Don't know yet/no preference
2142,2304,1.0,totally agree
2143,2305,2.0,sometimes occurs
2144,2306,2.0,no
2145,2307,4.0,rarely/never
2146,2308,1.0,No
2147,2309,1.0,Answered
2148,2310,4.0,do not know yet
2149,2311,4.0,"No, and I don't know if I will in the future"
2150,2312,3.0,"bad, many problems"
2151,2313,3.0,"Yes, from my doctor"
2152,2314,6.0,"Yes, other help"
2153,2322,0.0,No
2154,2340,1.0,"yes, (almost) no problems"
2155,2341,2.0,"fair, some issues"
2156,2342,3.0,"bad, many problems"
2157,2343,4.0,does not apply
2158,2344,1.0,"yes, (almost) no problems"
2159,2345,2.0,"fair, some issues"
2160,2346,3.0,"bad, many problems"
2161,2347,4.0,does not apply
2162,2348,1.0,"yes, (almost) no problems"
2163,2349,2.0,"fair, some issues"
2164,2350,3.0,"bad, many problems"
2165,2351,4.0,does not apply
2166,2352,1.0,"yes, (almost) no problems"
2167,2353,2.0,"fair, some issues"
2168,2354,3.0,"bad, many problems"
2169,2355,4.0,does not apply
2170,2356,1.0,"yes, (almost) no problems"
2171,2357,2.0,"fair, some issues"
2172,2358,3.0,"bad, many problems"
2173,2359,4.0,does not apply
2174,2360,1.0,"yes, (almost) no problems"
2175,2361,2.0,"fair, some issues"
2176,2362,3.0,"bad, many problems"
2177,2363,4.0,does not apply
2178,2364,1.0,"yes, (almost) no problems"
2179,2365,2.0,"fair, some issues"
2180,2366,3.0,"bad, many problems"
2181,2367,4.0,does not apply
2182,2368,1.0,"yes, (almost) no problems"
2183,2369,2.0,"fair, some issues"
2184,2370,3.0,"bad, many problems"
2185,2371,4.0,does not apply
2186,2372,1.0,"yes, (almost) no problems"
2187,2373,2.0,"fair, some issues"
2188,2374,3.0,"bad, many problems"
2189,2375,4.0,does not apply
2190,2376,1.0,"Yes, of course"
2191,2377,2.0,probably
2192,2378,3.0,no
2193,2379,4.0,don't know/not applicable
2194,2380,1.0,"Yes, of course"
2195,2381,2.0,probably
2196,2382,3.0,no
2197,2383,4.0,don't know/not applicable
2198,2384,1.0,"Yes, of course"
2199,2385,2.0,probably
2200,2386,3.0,no
2201,2387,4.0,don't know/not applicable
2202,2388,1.0,(almost always
2203,2389,2.0,often
2204,2390,3.0,sometimes
2205,2391,4.0,no
2206,2392,1.0,(almost always
2207,2393,2.0,often
2208,2394,3.0,sometimes
2209,2395,4.0,no
2210,2396,1.0,(almost always
2211,2397,2.0,often
2212,2398,3.0,sometimes
2213,2399,4.0,no
2214,2400,1.0,(almost always
2215,2401,2.0,often
2216,2402,3.0,sometimes
2217,2403,4.0,no
2218,2404,1.0,(almost always
2219,2405,2.0,often
2220,2406,3.0,sometimes
2221,2407,4.0,no
2222,2408,1.0,(almost always
2223,2409,2.0,often
2224,2410,3.0,sometimes
2225,2411,4.0,no
2226,2422,1.0,Yes
2227,2423,2.0,No
2228,2424,3.0,Do not know / no opinion
2229,2425,1.0,Yes
2230,2426,2.0,No
2231,2427,3.0,Do not know / no opinion
2232,2428,1.0,I did
2233,2429,2.0,"Not done yet, but I'm ready"
2234,2430,3.0,I didn't and I don't want to
2235,2431,4.0,do not know yet
2236,2432,1.0,I did
2237,2433,2.0,"Not done yet, but I'm ready"
2238,2434,3.0,I didn't and I don't want to
2239,2435,4.0,do not know yet
2240,2436,1.0,I did
2241,2437,2.0,"Not done yet, but I'm ready"
2242,2438,3.0,I didn't and I don't want to
2243,2439,4.0,do not know yet
2244,2440,1.0,I did
2245,2441,2.0,"Not done yet, but I'm ready"
2246,2442,3.0,I didn't and I don't want to
2247,2443,4.0,do not know yet
2248,2444,1.0,I did
2249,2445,2.0,"Not done yet, but I'm ready"
2250,2446,3.0,I didn't and I don't want to
2251,2447,4.0,do not know yet
2252,2448,1.0,Yes
2253,2449,2.0,No
2254,2450,1.0,New Hawthorn
2255,2451,10.0,Liesbos
2256,2452,11.0,Pekhoeve
2257,2453,12.0,Vianden
2258,2454,13.0,Poelewei
2259,2455,14.0,3 Linden
2260,2456,15.0,Geeren-North
2261,2457,16.0,Scheldestraat
2262,2458,17.0,Crow's nest
2263,2459,18.0,Signpost
2264,2460,19.0,Die
2265,2461,2.0,House of the Hill
2266,2462,20.0,Biesdonk
2267,2463,21.0,Zandberg
2268,2464,22.0,Kievietslaar
2269,2465,23.0,The Blaker
2270,2466,24.0,silver birch
2271,2467,25.0,Geeren South (ONS)
2272,2468,26.0,Toma (Batu Karang)
2273,2469,27.0,Don't know
2274,2470,3.0,northern Lights
2275,2471,4.0,æt Web
2276,2472,5.0,Olympia
2277,2473,6.0,Beemdentil
2278,2474,7.0,Belcrum
2279,2475,8.0,æt Monastery
2280,2476,9.0,The cow
2281,2477,1.0,(almost every day
2282,2478,2.0,(almost) Every week
2283,2479,3.0,(almost) Every month
2284,2480,4.0,(almost) Every 3 months
2285,2481,5.0,1 or 2 times
2286,2482,0.0,Not Answered
2287,2483,1.0,Answered
2288,2485,0.0,Not Answered
2289,2486,1.0,Answered
2290,2487,0.0,Not Answered
2291,2488,1.0,Answered
2292,2489,0.0,Not Answered
2293,2490,1.0,Answered
2294,2491,0.0,Not Answered
2295,2492,1.0,Answered
2296,2493,0.0,Not Answered
2297,2494,1.0,Answered
2298,2495,0.0,Not Answered
2299,2496,1.0,Answered
2300,2497,0.0,Not Answered
2301,2498,1.0,Answered
2302,2499,0.0,Not Answered
2303,2500,1.0,Answered
2304,2501,1.0,occurs often
2305,2502,2.0,sometimes occurs
2306,2503,3.0,(almost) never occurs
2307,2504,4.0,Do not know / no opinion
2308,2505,1.0,occurs often
2309,2506,2.0,sometimes occurs
2310,2507,3.0,(almost) never occurs
2311,2508,4.0,Do not know / no opinion
2312,2509,1.0,occurs often
2313,2510,2.0,sometimes occurs
2314,2511,3.0,(almost) never occurs
2315,2512,4.0,Do not know / no opinion
2316,2513,1.0,occurs often
2317,2514,2.0,sometimes occurs
2318,2515,3.0,(almost) never occurs
2319,2516,4.0,Do not know / no opinion
2320,2517,1.0,occurs often
2321,2518,2.0,sometimes occurs
2322,2519,3.0,(almost) never occurs
2323,2520,4.0,Do not know / no opinion
2324,2521,1.0,occurs often
2325,2522,2.0,sometimes occurs
2326,2523,3.0,(almost) never occurs
2327,2524,4.0,Do not know / no opinion
2328,2525,1.0,occurs often
2329,2526,2.0,sometimes occurs
2330,2527,3.0,(almost) never occurs
2331,2528,4.0,Do not know / no opinion
2332,2529,1.0,occurs often
2333,2530,2.0,sometimes occurs
2334,2531,3.0,(almost) never occurs
2335,2532,4.0,Do not know / no opinion
2336,2533,1.0,occurs often
2337,2534,2.0,sometimes occurs
2338,2535,3.0,(almost) never occurs
2339,2536,4.0,Do not know / no opinion
2340,2537,1.0,occurs often
2341,2538,2.0,sometimes occurs
2342,2539,3.0,(almost) never occurs
2343,2540,4.0,Do not know / no opinion
2344,2541,1.0,occurs often
2345,2542,2.0,sometimes occurs
2346,2543,3.0,(almost) never occurs
2347,2544,4.0,Do not know / no opinion
2348,2545,1.0,occurs often
2349,2546,2.0,sometimes occurs
2350,2547,3.0,(almost) never occurs
2351,2548,4.0,Do not know / no opinion
2352,2549,1.0,occurs often
2353,2550,2.0,sometimes occurs
2354,2551,3.0,(almost) never occurs
2355,2552,4.0,Do not know / no opinion
2356,2553,1.0,occurs often
2357,2554,2.0,sometimes occurs
2358,2555,3.0,(almost) never occurs
2359,2556,4.0,Do not know / no opinion
2360,2557,1.0,occurs often
2361,2558,2.0,sometimes occurs
2362,2559,3.0,(almost) never occurs
2363,2560,4.0,Do not know / no opinion
2364,2561,1.0,occurs often
2365,2562,2.0,sometimes occurs
2366,2563,3.0,(almost) never occurs
2367,2564,4.0,Do not know / no opinion
2368,2565,1.0,occurs often
2369,2566,2.0,sometimes occurs
2370,2567,3.0,(almost) never occurs
2371,2568,4.0,Do not know / no opinion
2372,2569,1.0,occurs often
2373,2570,2.0,sometimes occurs
2374,2571,3.0,(almost) never occurs
2375,2572,4.0,Do not know / no opinion
2376,2573,1.0,occurs often
2377,2574,2.0,sometimes occurs
2378,2575,3.0,(almost) never occurs
2379,2576,4.0,Do not know / no opinion
2380,2577,1.0,Yes
2381,2578,2.0,No
2382,2579,3.0,Do not know / no opinion
2383,2580,1.0,Often
2384,2581,2.0,Sometimes
2385,2582,3.0,Seldom
2386,2583,4.0,Do not know / no opinion
2387,2584,1.0,Yes
2388,2585,2.0,No
2389,2586,3.0,Do not know / no opinion
2390,2587,1.0,Often
2391,2588,2.0,Sometimes
2392,2589,3.0,Seldom
2393,2590,4.0,Do not know / no opinion
2394,2591,1.0,occurs often
2395,2592,2.0,sometimes occurs
2396,2593,3.0,(almost) never occurs
2397,2594,4.0,Do not know / no opinion
2398,2595,1.0,occurs often
2399,2596,2.0,sometimes occurs
2400,2597,3.0,(almost) never occurs
2401,2598,4.0,Do not know / no opinion
2402,2599,1.0,occurs often
2403,2600,2.0,sometimes occurs
2404,2601,3.0,(almost) never occurs
2405,2602,4.0,Do not know / no opinion
2406,2603,1.0,occurs often
2407,2604,2.0,sometimes occurs
2408,2605,3.0,(almost) never occurs
2409,2606,4.0,Do not know / no opinion
2410,2607,1.0,occurs often
2411,2608,2.0,sometimes occurs
2412,2609,3.0,(almost) never occurs
2413,2610,4.0,Do not know / no opinion
2414,2611,1.0,occurs often
2415,2612,2.0,sometimes occurs
2416,2613,3.0,(almost) never occurs
2417,2614,4.0,Do not know / no opinion
2418,2615,1.0,no
2419,2616,2.0,"yes, in your own neighbourhood"
2420,2617,3.0,"yes, elsewhere in the municipality"
2421,2618,4.0,"yes, but not in your own community"
2422,2619,1.0,no
2423,2620,2.0,"yes, in your own neighbourhood"
2424,2621,3.0,"yes, elsewhere in the municipality"
2425,2622,4.0,"yes, but not in your own community"
2426,2623,1.0,no
2427,2624,2.0,"yes, in your own neighbourhood"
2428,2625,3.0,"yes, elsewhere in the municipality"
2429,2626,4.0,"yes, but not in your own community"
2430,2627,1.0,no
2431,2628,2.0,"yes, in your own neighbourhood"
2432,2629,3.0,"yes, elsewhere in the municipality"
2433,2630,4.0,"yes, but not in your own community"
2434,2631,1.0,no
2435,2632,2.0,"yes, in your own neighbourhood"
2436,2633,3.0,"yes, elsewhere in the municipality"
2437,2634,4.0,"yes, but not in your own community"
2438,2635,1.0,no
2439,2636,2.0,"yes, in your own neighbourhood"
2440,2637,3.0,"yes, elsewhere in the municipality"
2441,2638,4.0,"yes, but not in your own community"
2442,2639,1.0,no
2443,2640,2.0,"yes, in your own neighbourhood"
2444,2641,3.0,"yes, elsewhere in the municipality"
2445,2642,4.0,"yes, but not in your own community"
2446,2643,1.0,no
2447,2644,2.0,"yes, in your own neighbourhood"
2448,2645,3.0,"yes, elsewhere in the municipality"
2449,2646,4.0,"yes, but not in your own community"
2450,2647,1.0,no
2451,2648,2.0,"yes, in your own neighbourhood"
2452,2649,3.0,"yes, elsewhere in the municipality"
2453,2650,4.0,"yes, but not in your own community"
2454,2651,1.0,no
2455,2652,2.0,"yes, in your own neighbourhood"
2456,2653,3.0,"yes, elsewhere in the municipality"
2457,2654,4.0,"yes, but not in your own community"
2458,2655,1.0,no
2459,2656,2.0,"yes, in your own neighbourhood"
2460,2657,3.0,"yes, elsewhere in the municipality"
2461,2658,4.0,"yes, but not in your own community"
2462,2659,1.0,no
2463,2660,2.0,"yes, in your own neighbourhood"
2464,2661,3.0,"yes, elsewhere in the municipality"
2465,2662,4.0,"yes, but not in your own community"
2466,2663,1.0,no
2467,2664,2.0,"yes, in your own neighbourhood"
2468,2665,3.0,"yes, elsewhere in the municipality"
2469,2666,4.0,"yes, but not in your own community"
2470,2667,1.0,Yes
2471,2668,2.0,no
2472,2669,1.0,Yes
2473,2670,2.0,no
2474,2671,1.0,Yes
2475,2672,2.0,no
2476,2673,1.0,Yes
2477,2674,2.0,no
2478,2675,1.0,Yes
2479,2676,2.0,no
2480,2677,1.0,Yes
2481,2678,2.0,no
2482,2679,1.0,Yes
2483,2680,2.0,no
2484,2682,1.0,Yes
2485,2683,2.0,no
2486,2684,1.0,Yes
2487,2685,2.0,no
2488,2686,1.0,Yes
2489,2687,2.0,no
2490,2688,1.0,"Yes, I bought or sold these goods/services online"
2491,2689,2.0,"No, I have not bought or sold these goods online"
2492,2690,1.0,Yes
2493,2691,2.0,no
2494,2692,1.0,Yes
2495,2693,2.0,no
2496,2695,1.0,does not occur
2497,2696,2.0,occurs and scares me
2498,2697,3.0,occurs and makes me angry
2499,2698,4.0,occurs and gives me a different emotion
2500,2699,5.0,occurs and does not affect me much
2501,2700,6.0,don't know if it happens
2502,2701,1.0,does not occur
2503,2702,2.0,occurs and scares me
2504,2703,3.0,occurs and makes me angry
2505,2704,4.0,occurs and gives me a different emotion
2506,2705,5.0,occurs and does not affect me much
2507,2706,6.0,don't know if it happens
2508,2707,1.0,does not occur
2509,2708,2.0,occurs and scares me
2510,2709,3.0,occurs and makes me angry
2511,2710,4.0,occurs and gives me a different emotion
2512,2711,5.0,occurs and does not affect me much
2513,2712,6.0,don't know if it happens
2514,2713,1.0,does not occur
2515,2714,2.0,occurs and scares me
2516,2715,3.0,occurs and makes me angry
2517,2716,4.0,occurs and gives me a different emotion
2518,2717,5.0,occurs and does not affect me much
2519,2718,6.0,don't know if it happens
2520,2719,1.0,does not occur
2521,2720,2.0,occurs and scares me
2522,2721,3.0,occurs and makes me angry
2523,2722,4.0,occurs and gives me a different emotion
2524,2723,5.0,occurs and does not affect me much
2525,2724,6.0,don't know if it happens
2526,2725,1.0,does not occur
2527,2726,2.0,occurs and scares me
2528,2727,3.0,occurs and makes me angry
2529,2728,4.0,occurs and gives me a different emotion
2530,2729,5.0,occurs and does not affect me much
2531,2730,6.0,don't know if it happens
2532,2731,1.0,does not occur
2533,2732,2.0,occurs and scares me
2534,2733,3.0,occurs and makes me angry
2535,2734,4.0,occurs and gives me a different emotion
2536,2735,5.0,occurs and does not affect me much
2537,2736,6.0,don't know if it happens
2538,2737,1.0,does not occur
2539,2738,2.0,occurs and scares me
2540,2739,3.0,occurs and makes me angry
2541,2740,4.0,occurs and gives me a different emotion
2542,2741,5.0,occurs and does not affect me much
2543,2742,6.0,don't know if it happens
2544,2743,1.0,does not occur
2545,2744,2.0,occurs and scares me
2546,2745,3.0,occurs and makes me angry
2547,2746,4.0,occurs and gives me a different emotion
2548,2747,5.0,occurs and does not affect me much
2549,2748,6.0,don't know if it happens
2550,2749,4.0,Do not know / no opinion
2551,2750,3.0,No
2552,2751,1.0,Yes
2553,2753,0.0,Not Answered
2554,2754,1.0,Answered
2555,2755,0.0,Not Answered
2556,2756,1.0,Answered
2557,2757,0.0,Not Answered
2558,2758,1.0,Answered
2559,2759,0.0,Not Answered
2560,2760,1.0,Answered
2561,2761,0.0,Not Answered
2562,2762,1.0,Answered
2563,2764,1.0,Yes
2564,2765,2.0,"No, not in my own neighborhood but in Breda"
2565,2766,3.0,No
2566,2767,4.0,Do not know / no opinion
2567,2782,1.0,
2568,2783,10.0,10
2569,2784,2.0,
2570,2785,3.0,
2571,2786,4.0,
2572,2787,5.0,
2573,2788,6.0,
2574,2789,7.0,
2575,2790,8.0,
2576,2791,9.0,
2577,2792,1.0,totally agree
2578,2793,2.0,at sometime
2579,2794,3.0,"not agree, not disagree"
2580,2795,4.0,disagree
2581,2796,5.0,totally disagree
2582,2797,6.0,don't know/not applicable
2583,2798,1.0,totally agree
2584,2799,2.0,at sometime
2585,2800,3.0,"not agree, not disagree"
2586,2801,4.0,disagree
2587,2802,5.0,totally disagree
2588,2803,6.0,don't know/not applicable
2589,2804,1.0,totally agree
2590,2805,2.0,at sometime
2591,2806,3.0,"not agree, not disagree"
2592,2807,4.0,disagree
2593,2808,5.0,totally disagree
2594,2809,6.0,don't know/not applicable
2595,2810,1.0,totally agree
2596,2811,2.0,at sometime
2597,2812,3.0,"not agree, not disagree"
2598,2813,4.0,disagree
2599,2814,5.0,totally disagree
2600,2815,6.0,don't know/not applicable
2601,2816,1.0,totally agree
2602,2817,2.0,at sometime
2603,2818,3.0,"not agree, not disagree"
2604,2819,4.0,disagree
2605,2820,5.0,totally disagree
2606,2821,6.0,don't know/not applicable
2607,2822,1.0,totally agree
2608,2823,2.0,at sometime
2609,2824,3.0,"not agree, not disagree"
2610,2825,4.0,disagree
2611,2826,5.0,totally disagree
2612,2827,6.0,don't know/not applicable
2613,2828,1.0,
2614,2829,10.0,10
2615,2830,11.0,Do not know / no opinion
2616,2831,2.0,
2617,2832,3.0,
2618,2833,4.0,
2619,2834,5.0,
2620,2835,6.0,
2621,2836,7.0,
2622,2837,8.0,
2623,2838,9.0,
2624,2839,1.0,totally agree
2625,2840,2.0,at sometime
2626,2841,3.0,"not agree, not disagree"
2627,2842,4.0,disagree
2628,2843,5.0,totally disagree
2629,2844,6.0,Do not know / no opinion
2630,2845,1.0,totally agree
2631,2846,2.0,at sometime
2632,2847,3.0,"not agree, not disagree"
2633,2848,4.0,disagree
2634,2849,5.0,totally disagree
2635,2850,6.0,Do not know / no opinion
2636,2851,1.0,
2637,2852,10.0,10
2638,2853,11.0,Do not know / no opinion
2639,2854,2.0,
2640,2855,3.0,
2641,2856,4.0,
2642,2857,5.0,
2643,2858,6.0,
2644,2859,7.0,
2645,2860,8.0,
2646,2861,9.0,
2647,2862,1.0,very satisfied
2648,2863,2.0,satisfied
2649,2864,3.0,not satisfied/not dissatisfied
2650,2865,4.0,dissatisfied
2651,2866,5.0,very dissatisfied
2652,2867,6.0,Do not know / no opinion
2653,2868,1.0,very satisfied
2654,2869,2.0,satisfied
2655,2870,3.0,not satisfied/not dissatisfied
2656,2871,4.0,dissatisfied
2657,2872,5.0,very dissatisfied
2658,2873,6.0,Do not know / no opinion
2659,2874,1.0,very satisfied
2660,2875,2.0,satisfied
2661,2876,3.0,not satisfied/not dissatisfied
2662,2877,4.0,dissatisfied
2663,2878,5.0,very dissatisfied
2664,2879,6.0,Do not know / no opinion
2665,2880,1.0,very satisfied
2666,2881,2.0,satisfied
2667,2882,3.0,not satisfied/not dissatisfied
2668,2883,4.0,dissatisfied
2669,2884,5.0,very dissatisfied
2670,2885,6.0,Do not know / no opinion
2671,2886,1.0,very satisfied
2672,2887,2.0,satisfied
2673,2888,3.0,not satisfied/not dissatisfied
2674,2889,4.0,dissatisfied
2675,2890,5.0,very dissatisfied
2676,2891,6.0,Do not know / no opinion
2677,2892,1.0,very satisfied
2678,2893,2.0,satisfied
2679,2894,3.0,not satisfied/not dissatisfied
2680,2895,4.0,dissatisfied
2681,2896,5.0,very dissatisfied
2682,2897,6.0,Do not know / no opinion
2683,2898,1.0,very satisfied
2684,2899,2.0,satisfied
2685,2900,3.0,not satisfied/not dissatisfied
2686,2901,4.0,dissatisfied
2687,2902,5.0,very dissatisfied
2688,2903,6.0,Do not know / no opinion
2689,2906,1.0,totally agree
2690,2907,2.0,agree
2691,2908,3.0,neutral
2692,2909,4.0,do not agree with
2693,2910,5.0,totally disagree
2694,2911,6.0,Do not know / no opinion
2695,2912,1.0,totally agree
2696,2913,2.0,agree
2697,2914,3.0,neutral
2698,2915,4.0,do not agree with
2699,2916,5.0,totally disagree
2700,2917,6.0,Do not know / no opinion
2701,2918,1.0,totally agree
2702,2919,2.0,agree
2703,2920,3.0,neutral
2704,2921,4.0,do not agree with
2705,2922,5.0,totally disagree
2706,2923,6.0,Do not know / no opinion
2707,2924,1.0,totally agree
2708,2925,2.0,agree
2709,2926,3.0,neutral
2710,2927,4.0,do not agree with
2711,2928,5.0,totally disagree
2712,2929,6.0,Do not know / no opinion
2713,2930,1.0,totally agree
2714,2931,2.0,agree
2715,2932,3.0,neutral
2716,2933,4.0,do not agree with
2717,2934,5.0,totally disagree
2718,2935,6.0,Do not know / no opinion
2719,2936,1.0,totally agree
2720,2937,2.0,agree
2721,2938,3.0,neutral
2722,2939,4.0,do not agree with
2723,2940,5.0,totally disagree
2724,2941,6.0,Do not know / no opinion
2725,2942,1.0,totally agree
2726,2943,2.0,agree
2727,2944,3.0,neutral
2728,2945,4.0,do not agree with
2729,2946,5.0,totally disagree
2730,2947,6.0,Do not know / no opinion
2731,2948,1.0,totally agree
2732,2949,2.0,agree
2733,2950,3.0,neutral
2734,2951,4.0,do not agree with
2735,2952,5.0,totally disagree
2736,2953,6.0,Do not know / no opinion
2737,2954,1.0,totally agree
2738,2955,2.0,agree
2739,2956,3.0,neutral
2740,2957,4.0,do not agree with
2741,2958,5.0,totally disagree
2742,2959,6.0,Do not know / no opinion
2743,2960,1.0,totally agree
2744,2961,2.0,agree
2745,2962,3.0,neutral
2746,2963,4.0,do not agree with
2747,2964,5.0,totally disagree
2748,2965,6.0,Do not know / no opinion
2749,2966,1.0,totally agree
2750,2967,2.0,agree
2751,2968,3.0,neutral
2752,2969,4.0,do not agree with
2753,2970,5.0,totally disagree
2754,2971,6.0,Do not know / no opinion
2755,2972,1.0,totally agree
2756,2973,2.0,agree
2757,2974,3.0,neutral
2758,2975,4.0,do not agree with
2759,2976,5.0,totally disagree
2760,2977,6.0,Do not know / no opinion
2761,2978,1.0,totally agree
2762,2979,2.0,agree
2763,2980,3.0,neutral
2764,2981,4.0,do not agree with
2765,2982,5.0,totally disagree
2766,2983,6.0,Do not know / no opinion
2767,2984,1.0,
2768,2985,10.0,10
2769,2986,2.0,
2770,2987,3.0,
2771,2988,4.0,
2772,2989,5.0,
2773,2990,6.0,
2774,2991,7.0,
2775,2992,8.0,
2776,2993,9.0,
2777,2994,1.0,improved
2778,2995,2.0,stayed the same
2779,2996,3.0,deteriorated
2780,2997,4.0,Do not know / no opinion
2781,2998,1.0,improved
2782,2999,2.0,stayed the same
2783,3000,3.0,deteriorated
2784,3001,4.0,Do not know / no opinion
2785,3002,1.0,improved
2786,3003,2.0,stayed the same
2787,3004,3.0,deteriorated
2788,3005,4.0,Do not know / no opinion
2789,3006,1.0,Forward
2790,3007,2.0,Stayed the same
2791,3008,3.0,Backwards
2792,3009,4.0,Do not know / no opinion
2793,3010,1.0,Forward
2794,3011,2.0,Will stay the same
2795,3012,3.0,Backwards
2796,3013,4.0,Do not know / no opinion
2797,3014,1.0,
2798,3015,10.0,10
2799,3016,2.0,
2800,3017,3.0,
2801,3018,4.0,
2802,3019,5.0,
2803,3020,6.0,
2804,3021,7.0,
2805,3022,8.0,
2806,3023,9.0,
2807,3024,1.0,
2808,3025,10.0,10
2809,3026,2.0,
2810,3027,3.0,
2811,3028,4.0,
2812,3029,5.0,
2813,3030,6.0,
2814,3031,7.0,
2815,3032,8.0,
2816,3033,9.0,
2817,3034,1.0,
2818,3035,10.0,10
2819,3036,2.0,
2820,3037,3.0,
2821,3038,4.0,
2822,3039,5.0,
2823,3040,6.0,
2824,3041,7.0,
2825,3042,8.0,
2826,3043,9.0,
2827,3044,1.0,
2828,3045,10.0,10
2829,3046,2.0,
2830,3047,3.0,
2831,3048,4.0,
2832,3049,5.0,
2833,3050,6.0,
2834,3051,7.0,
2835,3052,8.0,
2836,3053,9.0,
2837,3054,1.0,Very positive
2838,3055,2.0,Positive
2839,3056,3.0,Neutral
2840,3057,4.0,Negative
2841,3058,5.0,Very negative
2842,3059,6.0,No idea
2843,3062,0.0,Age
2844,3063,1.0,Age
2845,3064,10.0,Age
2846,3065,100.0,Age
2847,3066,101.0,Age
2848,3067,102.0,Age
2849,3068,103.0,Age
2850,3069,104.0,Age
2851,3070,105.0,Age
2852,3071,106.0,Age
2853,3072,107.0,Age
2854,3073,108.0,Age
2855,3074,109.0,Age
2856,3075,11.0,Age
2857,3076,12.0,Age
2858,3077,13.0,Age
2859,3078,14.0,Age
2860,3079,15.0,Age
2861,3080,16.0,Age
2862,3081,17.0,Age
2863,3082,18.0,Age
2864,3083,19.0,Age
2865,3084,2.0,Age
2866,3085,20.0,Age
2867,3086,21.0,Age
2868,3087,22.0,Age
2869,3088,23.0,Age
2870,3089,24.0,Age
2871,3090,25.0,Age
2872,3091,26.0,Age
2873,3092,27.0,Age
2874,3093,28.0,Age
2875,3094,29.0,Age
2876,3095,3.0,Age
2877,3096,30.0,Age
2878,3097,31.0,Age
2879,3098,32.0,Age
2880,3099,33.0,Age
2881,3100,34.0,Age
2882,3101,35.0,Age
2883,3102,36.0,Age
2884,3103,37.0,Age
2885,3104,38.0,Age
2886,3105,39.0,Age
2887,3106,4.0,Age
2888,3107,40.0,Age
2889,3108,41.0,Age
2890,3109,42.0,Age
2891,3110,43.0,Age
2892,3111,44.0,Age
2893,3112,45.0,Age
2894,3113,46.0,Age
2895,3114,47.0,Age
2896,3115,48.0,Age
2897,3116,49.0,Age
2898,3117,5.0,Age
2899,3118,50.0,Age
2900,3119,51.0,Age
2901,3120,52.0,Age
2902,3121,53.0,Age
2903,3122,54.0,Age
2904,3123,55.0,Age
2905,3124,56.0,Age
2906,3125,57.0,Age
2907,3126,58.0,Age
2908,3127,59.0,Age
2909,3128,6.0,Age
2910,3129,60.0,Age
2911,3130,61.0,Age
2912,3131,62.0,Age
2913,3132,63.0,Age
2914,3133,64.0,Age
2915,3134,65.0,Age
2916,3135,66.0,Age
2917,3136,67.0,Age
2918,3137,68.0,Age
2919,3138,69.0,Age
2920,3139,7.0,Age
2921,3140,70.0,Age
2922,3141,71.0,Age
2923,3142,72.0,Age
2924,3143,73.0,Age
2925,3144,74.0,Age
2926,3145,75.0,Age
2927,3146,76.0,Age
2928,3147,77.0,Age
2929,3148,78.0,Age
2930,3149,79.0,Age
2931,3150,8.0,Age
2932,3151,80.0,Age
2933,3152,81.0,Age
2934,3153,82.0,Age
2935,3154,83.0,Age
2936,3155,84.0,Age
2937,3156,85.0,Age
2938,3157,86.0,Age
2939,3158,87.0,Age
2940,3159,88.0,Age
2941,3160,89.0,Age
2942,3161,9.0,Age
2943,3162,90.0,Age
2944,3163,91.0,Age
2945,3164,92.0,Age
2946,3165,93.0,Age
2947,3166,94.0,Age
2948,3167,95.0,Age
2949,3168,96.0,Age
2950,3169,97.0,Age
2951,3170,98.0,Age
2952,3171,99.0,Age
2953,3172,1.0,Single/living alone
2954,3173,2.0,Two adults with child(ren)
2955,3174,3.0,Two adults without child(ren)
2956,3175,4.0,ETn adult with child(ren)/single-parent family
2957,3176,5.0,Otherwise
2958,3178,1.0,Primary school/primary education/no education
2959,3179,2.0,Vmbo/Mavo
2960,3180,3.0,Vwo/Havo
