,id_question,question_description,subquestion_description,abbreviated_question
338,422,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is ample parking in my neighborhood.,There is ample parking in my neighborhood
339,424,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Cannabis plantations,Weed plantations are located nearby
340,425,Why didn't you report it to the municipality?,Through guilt or shame,Not reported due to guilt or shame
341,426,Does it ever happen that you à,don't feel comfortable being home alone at night?,Feels uncomfortable alone at home
342,428,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,In my neighborhood little to no things are broken.,In my neighborhood little to no things are broken
343,429,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Other (leisure) association,Active in other (leisure) associations
344,431,Are you someone who,easily arranges and organizes help yourself if needed,Can arrange help yourself
345,432,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",Your child/(TTn of) your children,Child(ren) experienced cyberbullying
346,434,What were the main reasons you moved at the time?,Insufficient facilities in the area,Moved due to insufficient facilities in the area
347,435,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Bicycle theft,Victim of bicycle theft
348,436,Why didn't you report it to the municipality?,Through guilt or shame,Not reported due to guilt or shame
349,437,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Would you like to become a member of this DigiPanel Breda?,Am a member of DigiPanel Breda
350,438,What type of house do you live in?,What type of house do you live in?,Type of house
351,439,"During the past 12 months, how often did you do the following activities in your spare time?","Excursions that do not cost money (hiking, beach, into the woods, playground).",Often made trips that cost no money
352,441,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Nuisance from vagrants and homeless people,Nuisance from vagrants/homeless people is (sometimes) common in my neighbourhood
353,442,Are you getting help with anything?,Establishing and maintaining social contacts,Help with establishing and maintaining social contacts
354,444,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Cannabis plantations,Weed plantations are located nearby
355,445,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Parking problems, for example incorrectly parked vehicles or crowds",Parking problems are (sometimes) common in my neighborhood
356,446,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,My neighborhood is clean.,My neighborhood is clean
357,447,Does it ever happen that you à,don't open in the evening or at night because you don't think it's safe?,"Doesn't open at night, finds it unsafe"
358,448,To what extent do you agree or disagree with the following statements about the municipality?,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety. (recalculated without N/A),The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety (recalculated without N/A)
359,449,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Violent crimes,Violent crime is (sometimes) common in my neighborhood
360,450,"During the past 12 months, how often did you do the following activities in your spare time?","Trips that cost money (such as zoo, amusement park, eating out, etc.).",Often done trips that cost money
361,451,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Women and girls who are whistled at in the street, shouted at, or receive unwanted attention in any other way",Unwanted attention on the street
362,452,Can you manage well when it comes to:,establishing and maintaining social contacts,Can cope well with entering into and maintaining social contacts
363,454,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,primary education,Satisfied with the supply of primary education in the area
364,456,Can you manage well when it comes to:,your physical health (recalculated without N/A),Copes well with physical health (recalculated without N/A)
365,457,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,facilities for young people,Satisfied with the range of facilities for young people in the neighbourhood
366,458,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Helping organize (social and/or youth) activities for the neighbourhood.,Help organize activities for the neighborhood
367,459,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the community center/community house,Meet the people from my neighborhood at the community center / community center
368,460,Which of the following activity(s) applies to you?,I am a housewife/househusband.,I am a housewife/househusband
369,461,Does it ever happen that you à,feel unsafe walking down the street in your neighborhood at night?,Unsafe to walk on the street in the neighborhood at night
370,462,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"streets, paths and sidewalks in my neighborhood are passable.","Streets, paths and sidewalks in my neighborhood are passable"
371,464,What did you do then? (More answers possible),"Reported to another organisation: GGD Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution","Reported to the following organisation: GGD, Meldpunt Zorg & Overlast, crisis service, neighborhood team, care institution"
372,465,"If you need help or care, you can fall back on:",people nearby,Can rely on people around
373,466,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",People harassed in the street,People being harassed on the street is (sometimes) common in my neighborhood
374,467,Where or when was this?,When finding a (rental) house (recalculated without N/A),Unfairly/unequally treated when finding a (rental) house (recalculated without N/A)
375,469,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Traffic noise pollution,Traffic noise is (sometimes) common in my neighbourhood
376,470,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the safety in your area,Satisfied with neighborhood safety
377,471,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,"Beds, public gardens and parks in my neighborhood are well maintained.","Beds, public gardens and parks in my neighborhood are well maintained"
378,472,Can you manage well when it comes to:,shopping,Can manage well with shopping
379,473,To what extent have you committed yourself to others in the past 12 months?,informal care to a family member or relative,Provide informal care to family member/relative
380,474,Are you someone who,easily arranges and organizes help yourself if needed,Can arrange help yourself
381,475,What type of residential area do you currently live in?,What type of residential area do you currently live in?,What type of residential area do you currently live in?
382,476,Why didn't you report it to the municipality?,On the advice of the police,No report was made on the advice of the police
383,477,Where or when was this?,In cafe / restaurant or other place of entertainment (recalculated without N/A),Unfairly/unequally treated in bar/restaurant or other place of entertainment (recalculated without N/A)
384,478,Can you manage well when it comes to:,"walking, sitting and standing","Can manage well with walking, sitting and standing"
385,479,What do you think of the following statements about your current home?,It is a pleasant house.,Nice house
386,481,Which of the following activity(s) applies to you?,I am studying/following a course/at school.,Study/get an education/go to school
387,482,Which of the following activity(s) applies to you?,I am retired/with prT pension.,Am retired/with pre-retirement
388,483,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Exploitation of human beings/trafficking,Human exploitation/trafficking occurs in the area
389,484,Are you getting help with anything?,"Walking, sitting and standing","Get help walking, sitting, and standing"
390,485,Would you like to indicate with a score how satisfied or dissatisfied you are with:,road safety in the area,Satisfied with the road safety in the neighbourhood
391,486,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Street robbery,Street robbery is common in my neighborhood
392,487,Where or when was this?,At School / Training / Internship,Treated unfairly/unequally at school/education/internship
393,488,Why didn't you report it to the municipality?,This is not a matter for the municipality,Not a matter for the municipality
394,489,On what basis did you feel you were treated unfairly or unequally?,Origin / Skin color,Feeling of being treated unfairly/unequally based on origin/skin colour
395,490,Can you manage well when it comes to:,administration/finance (recalculated without N/A),Copes well with administration/finance (recalculated without N/A)
396,491,"During the past 12 months, how often did you do the following activities in your spare time?",Sports activities (sports yourself or attending sports competitions).,Often sporting activities
397,492,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Religious or social association,Active in religious or social association
398,493,On what basis did you feel you were treated unfairly or unequally?,Age (recalculated without N/A),Feeling of being treated unfairly/unequally by age (recalculated without N/A)
399,494,Has there been an increase in nuisance caused by people with confused behavior in your neighborhood in recent years? (recalculated without N/A/no),(recalculated without N/A/no),Increase in nuisance caused by people with confused behaviour
400,497,Do you feel co-responsible for the quality of life and safety in your neighbourhood? (recalculated without N/A),(recalculated without N/A/no),Feels co-responsible for the quality of life and safety of my neighborhood (recalculated without N/A)
401,498,What were the main reasons you moved at the time?,Because of care for a family member (informal care),Moved due to care for family member
402,500,Which of the following activity(s) applies to you?,I am retired/with prT pension.,Am retired/with pre-retirement
403,501,Do you have for your home:,Do you have: a working smoke detector,Working smoke detector for my home
404,502,Where or when was this?,At School / Training / Internship,Treated unfairly/unequally at school/education/internship
405,503,What were the main reasons you moved at the time?,Because of the house itself,Moved because of the house itself
406,505,What do you think of the following statements about your current home?,It is a pleasant house.,Nice house
407,506,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Helping organize (social and/or youth) activities for the neighbourhood.,Help organize activities for the neighborhood
408,507,"If you need help or care, you can fall back on:",people nearby,Can rely on people around
409,510,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,People with a remarkable amount of money/expensive stuff without a (well-paid) job,People with a remarkable amount of money/expensive things without a (well-paid) job are found in the area
410,511,"Have you or anyone in your household experienced cyberbullying (gossip, taunting, bullying, stalking, blackmail or threats over the internet) in the past 12 months?",yourself,Had to deal with cyberbullying myself
411,512,What were the main reasons you moved at the time?,Living environment / residential area,Moved due to environment / residential area
412,513,"During the past 12 months, how often did you do the following activities in your spare time?","Excursions that do not cost money (hiking, beach, into the woods, playground).",Often made trips that cost no money
413,516,What do you think of the following statements about your current home?,The house needs urgent maintenance,Urgent maintenance
414,517,"During the past 12 months, how often did you do the following activities in your spare time?",Sports activities (sports yourself or attending sports competitions).,Often sporting activities
415,519,On what basis did you feel you were treated unfairly or unequally?,Something else (recalculated without N/A),Something else (recalculated without N/A)
416,520,"If you need help or care, you can fall back on:",people nearby,Can rely on people around
417,521,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,"welfare services, such as community work, youth work, etc.",Satisfied with the range of welfare facilities in the area
418,523,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Driving too fast,Speeding is (sometimes) common in my neighborhood
419,524,Does it ever happen that you à,don't feel comfortable being home alone at night?,Feels uncomfortable alone at home
420,525,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Drug laboratories,Drug laboratories are common in the area
421,526,Does it ever happen that you à,don't feel comfortable being home alone at night?,Feels uncomfortable alone at home
422,528,To what extent have you committed yourself to others in the past 12 months?,attention to neighbors in a worrying situation,Pay attention to neighbors in a worrying situation
423,529,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Street furniture, such as garbage cans, benches and bus shelters, that has been destroyed",Destroyed street furniture is (sometimes) common in my neighborhood
424,530,Do you want to sign up for,Follow-up research,Submitted for further investigation
425,531,Which of the following activity(s) applies to you?,I do paid work for less than 12 hours a week (1-11 hours).,Do paid work (1-11 hours per week)
426,533,Can you manage well when it comes to:,administration/finance,Can manage well with administration / finances
427,535,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in your home, with theft",Been a victim of burglary/theft at home
428,536,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith,Feeling of being treated unfairly/unequally on belief/religion
429,537,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Youth crime,Juvenile delinquency is (sometimes) common in my neighborhood
430,538,Do you want to sign up for,Raffle,Submitted for raffle
431,539,"During the past 12 months, how often did you do the following activities in your spare time?","Cultural trips (theatre, museum, film festival, etc.).",Often done cultural trips
432,541,Are you getting help with anything?,Your physical health,Get help with physical health
433,542,Has the following happened to you or anyone else in your household in the past 12 months?,Sales fraud,Sales fraud occurred in household
434,543,"If you need help or care, you can fall back on:",family,Can rely on family
435,544,To what extent do you agree with the following statements?,In the past year I have gained more confidence in the future,More confidence in the future
436,546,On what basis did you feel you were treated unfairly or unequally?,Age (recalculated without N/A),Feeling of being treated unfairly/unequally by age (recalculated without N/A)
437,547,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Young people hanging around,Youth loitering is (sometimes) common in my neighborhood
438,548,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Threat of physical violence,Been a victim of threats of physical violence
439,549,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc. (recalculated without N/A)",Copes well with general daily activities (recalculated without N/A)
440,550,Which of the following activity(s) applies to you?,I am a housewife/househusband.,I am a housewife/househusband
441,551,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?","Women and girls who are whistled at in the street, shouted at, or receive unwanted attention in any other way",Unwanted attention on the street
442,553,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I feel at home with the people who live in the area.,Feel at home with the people who live in the area
443,554,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Bicycle theft,Victim of bicycle theft
444,555,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the care of residents for their home and garden,Satisfied with the care of residents for their home and garden
445,556,To what extent do you agree with the following statements?,In the past year I have gained more confidence in myself,Gained more confidence in myself
446,557,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Abuse (outdoors),Been a victim of abuse (outdoors)
447,558,Can you manage well when it comes to:,your physical health,Copes well with physical health
448,560,What type of residential area do you currently live in?,What type of residential area do you currently live in?,What type of residential area do you currently live in?
449,561,To what extent do you agree with the following statements?,"In the past year I have become more active in volunteer work (association, church, politics, neighbourhoodà)",Became more active in volunteer work
450,562,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I have a lot of contact with other local residents.,Lots of contact with other local residents
451,564,Which of the following activity(s) applies to you?,I am studying/following a course/at school.,Study/get an education/go to school
452,565,On what basis did you feel you were treated unfairly or unequally?,Gender (recalculated without N/A),Feeling of being treated unfairly/unequally by gender (recalculated without N/A)
453,566,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Other theft,Been a victim of other theft
454,567,Do you feel co-responsible for the quality of life and safety in your neighbourhood? (recalculated without N/A),(recalculated without N/A/no),Feels co-responsible for the quality of life and safety of my neighborhood (recalculated without N/A)
455,568,To what extent have you committed yourself to others in the past 12 months?,"helping neighbors (helping with odd jobs, errands, etc.)",Give help to neighbours
456,569,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the supermarket or shops,Meet the people from my neighborhood in the supermarket or shops
457,572,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Thinking along with neighbors about the future of the neighborhood.,Thinking along with neighbors about the future of the neighborhood
458,573,What were the main reasons you moved at the time?,"Because of the neighbors (quarrel, irritation, nuisance)",Moved because of the neighbours
459,575,What were the main reasons you moved at the time?,I wanted a rental home instead of a home for sale,Moved to rent instead of buy
460,576,Do you feel co-responsible for the quality of life and safety in your neighbourhood? (recalculated without N/A),(recalculated without N/A/no),Feels co-responsible for the quality of life and safety of my neighborhood (recalculated without N/A)
461,578,Are you getting help with anything?,Your psychological/mental health,Get mental/mental health help
462,579,Are you getting help with anything?,Shopping,Get help with grocery shopping
463,582,Where or when was this?,At School / Training / Internship (recalculated without N/A),Unfair/unequally treated at school/education/internship (recalculated without N/A)
464,583,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,"welfare services, such as community work, youth work, etc.",Satisfied with the range of welfare facilities in the area
465,584,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At home together,Meet the people from my neighborhood at each other's homes
466,585,Why didn't you report it to the municipality?,This is not a matter for the municipality,Not a matter for the municipality
467,588,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with the maintenance of public green spaces.,Help with maintenance of public green spaces
468,589,Do you have for your home:,Do you have: agreements about escaping the house in the event of a fire,Agreements about escaping the house in the event of a fire
469,590,Why didn't you report it to the municipality?,For fear of reaction or revenge,Not reported for fear of reaction or revenge
470,591,"During the past 12 months, how often did you do the following activities in your spare time?","Excursions that do not cost money (hiking, beach, into the woods, playground).",Often made trips that cost no money
471,592,What were the main reasons you moved at the time?,Because of study / work,Moved because of study/work
472,593,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Threat,Threats are common in my neighborhood
473,595,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Nuisance from vagrants and homeless people,Nuisance from vagrants/homeless people is (sometimes) common in my neighbourhood
474,596,Does it ever happen that you à,feel unsafe walking down the street in your neighborhood at night?,Unsafe to walk on the street in the neighborhood at night
475,597,Does it ever happen that you à,feel unsafe walking down the street in your neighborhood at night?,Unsafe to walk on the street in the neighborhood at night
476,598,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,People with a remarkable amount of money/expensive stuff without a (well-paid) job,People with a remarkable amount of money/expensive things without a (well-paid) job are found in the area
477,599,Does it ever happen that you à,does not allow your child(ren) to go anywhere near you because you do not think it is safe?,Unsafe neighborhood for children
478,600,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Domestic violence,Been a victim of domestic violence
479,601,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,"facilities for the elderly (such as meeting places, daytime activities, etc.)",Satisfied with the provision of facilities for the elderly in the neighbourhood
480,602,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,People with a remarkable amount of money/expensive stuff without a (well-paid) job,People with a remarkable amount of money/expensive things without a (well-paid) job are found in the area
481,603,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,On the street,Meet the people from my neighborhood on the street
482,605,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","(attempted) burglary in your home, without theft",Been a victim of (attempted) burglary in a home without theft
483,606,What type of living environment do you want?,What type of living environment do you want?,Moving to what kind of living environment
484,607,On what basis did you feel you were treated unfairly or unequally?,Age,Feeling of being treated unfairly/unequally in age
485,608,Are you getting help with anything?,Shopping,Get help with grocery shopping
486,609,Can you manage well when it comes to:,your physical health (recalculated without N/A),Copes well with physical health (recalculated without N/A)
487,610,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,Local residents treat each other in a pleasant way.,Local residents treat each other in a pleasant way
488,611,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Open answer to closed question,Opinion Bredanaars
489,612,"During the past 12 months, how often did you do the following activities in your spare time?",Sports activities (sports yourself or attending sports competitions).,Often sporting activities
490,613,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc.",Copes well with general daily activities
491,614,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Domestic violence,Been a victim of domestic violence
492,615,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the safety in your area,Satisfied with neighborhood safety
493,617,"If you need help or care, you can fall back on:",family,Can rely on family
494,618,Are you getting help with anything?,Administration / finance,Get help with administration/finance
495,620,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Cannabis plantations,Weed plantations are located nearby
496,622,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction (to your home or garden),Been a victim of damage/destruction to your home/garden
497,623,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction to cars and theft from,Been a victim of damage/destruction to cars
498,624,Can you manage well when it comes to:,your physical health (recalculated without N/A),Copes well with physical health (recalculated without N/A)
499,625,On what basis did you feel you were treated unfairly or unequally?,Gender (recalculated without N/A),Feeling of being treated unfairly/unequally by gender (recalculated without N/A)
500,627,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,public transport (recalculated without N/A),Satisfaction with public transport offer (recalculated without N/A)
501,628,What did you do then? (More answers possible),helped him/herself,helped him/herself
502,629,On what basis did you feel you were treated unfairly or unequally?,Something else (recalculated without N/A),Something else (recalculated without N/A)
503,632,To what extent have you committed yourself to others in the past 12 months?,care for a local resident,Provide informal care to local residents
504,634,Why didn't you report it to the municipality?,It doesn't help anyway,It does not help to report to the municipality
505,635,What do you think of the following statements about your current home?,The house is outdated.,House is outdated
506,638,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At school / in the schoolyard,Meet the people from my neighborhood at school / in the schoolyard
507,640,"The Municipality of Breda has an online citizen panel: DigiPanel Breda. A few times a year, residents of Breda are asked for their opinion in a short survey.",Open answer to closed question,Opinion Bredanaars
508,641,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Driving too fast,Speeding is (sometimes) common in my neighborhood
509,643,To what extent do you agree with the following statements?,In the past year I have had more contact with people in my neighborhood,I had more contact with people in my neighbourhood
510,644,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with cleaning/maintaining the neighborhood.,Help with cleaning/maintaining the neighborhood
511,645,What do you think of the following statements about your current home?,It is a pleasant house.,Nice house
512,646,Can you manage well when it comes to:,"walking, sitting and standing","Can manage well with walking, sitting and standing"
513,647,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,In the supermarket or shops,Meet the people from my neighborhood in the supermarket or shops
514,648,Would you like to indicate with a score how satisfied or dissatisfied you are with:,the care of residents for their home and garden,Satisfied with the care of residents for their home and garden
515,649,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,I hardly have any contact with people in my neighbourhood,I hardly have any contact with people in my neighbourhood
516,650,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,Companies that legalize criminal money (money laundering),Companies that make criminal money legal are common in my neighborhood
517,651,In which of the following associations / organizations have you been active in the past 12 months? Sports association,Social association,Active in social club
518,652,On what basis did you feel you were treated unfairly or unequally?,Sexual preference,Feeling of being treated unfairly/unequally on sexual preference
519,653,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The atmosphere,The atmosphere has changed in my neighborhood
520,654,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,In my neighborhood little to no things are broken.,In my neighborhood little to no things are broken
521,656,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Youth crime,Juvenile delinquency is (sometimes) common in my neighborhood
522,657,What did you do then? (More answers possible),Nothing,Nothing done with people who cause nuisance in the neighborhood
523,658,To what extent do you agree or disagree with the following statements about the municipality?,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety. (recalculated without N/A),The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety (recalculated without N/A)
524,659,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Aggressive behavior in traffic,Aggressive behavior in traffic is (sometimes) common in my neighbourhood
525,662,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,On the street,Meet the people from my neighborhood on the street
526,663,To what extent do you agree with the following statements?,In the past year I have gained more confidence in myself,Gained more confidence in myself
527,665,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is plenty of greenery in my neighbourhood.,There is plenty of greenery in my neighbourhood
528,666,Do you have for your home:,Do you have: roller shutters or shutters for windows and/or doors,Roller shutters/shutters for my home
529,667,Can you manage well when it comes to:,shopping,Can manage well with shopping
530,668,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith,Feeling of being treated unfairly/unequally on belief/religion
531,670,What were the main reasons you moved at the time?,Wants to move closer to parents/children,Moved to live closer to parents/children
532,671,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Youth crime,Juvenile delinquency is (sometimes) common in my neighborhood
533,672,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith (recalculated without N/A),Feeling of being treated unfairly/unequally on belief/religion (recalculated without N/A)
534,673,To what extent have you committed yourself to others in the past 12 months?,informal care to a family member or relative,Provide informal care to family member/relative
535,674,Where or when was this?,At work / when finding work,Treated unfairly/unequally at work/when looking for work
536,676,What were the main reasons you moved at the time?,Because of the house itself,Moved because of the house itself
537,677,What do you think of the following statements about your current home?,It is a pleasant house.,Nice house
538,678,Are you getting help with anything?,"Your general daily activities: washing, dressing, going to the toilet, eating, etc.",Get help with daily activities
539,679,What were the main reasons you moved at the time?,"Because of the neighbors (quarrel, irritation, nuisance)",Moved because of the neighbours
540,680,Which of the following activity(s) applies to you?,I do paid work for at least 12 hours a week.,Do paid work (at least 12 hours per week)
541,681,Does it ever happen that you à,don't open in the evening or at night because you don't think it's safe?,"Doesn't open at night, finds it unsafe"
542,682,To what extent do you agree or disagree with the following statements about the municipality?,"The municipality sufficiently involves citizens in its plans, activities and facilities.","The municipality sufficiently involves citizens in its plans, activities and facilities"
543,683,Do you want to sign up for,Feedback results,Specified for feedback results
544,684,What type of housing do you prefer when you go?,(choose a housing type that is financially feasible for you),Preferred housing type if you are moving
545,685,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Dog poop,Dog poop is (sometimes) common in my neighborhood
546,686,What do you think of the following statements about your current home?,It is a pleasant house.,Nice house
547,687,To what extent do you agree or disagree with the following statements about the municipality?,The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety. (recalculated without N/A),The municipality sufficiently supports neighborhood initiatives in the field of quality of life and safety (recalculated without N/A)
548,688,What were the main reasons you moved at the time?,Live independently,Moved to live independently
549,690,What were the main reasons you moved at the time?,Because of study / work,Moved because of study/work
550,692,What do you think of the following statements about your current home?,The rent / my mortgage is actually too high for my income,Rent / Mortgage actually too high for my income
551,693,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc.",Copes well with general daily activities
552,695,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","(attempted) burglary in your home, without theft",Been a victim of (attempted) burglary in a home without theft
553,696,To what extent do you agree or disagree with the following statements about the municipality?,The municipality focuses on improving quality of life and safety.,The municipality focuses on improving quality of life and safety
554,697,Which of the following activity(s) applies to you?,I am self-employed for at least 12 hours a week.,Work as a self-employed person (minimum 12 hours per week)
555,700,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Violent crimes,Violent crime is (sometimes) common in my neighborhood
556,701,Do you want to sign up for,Feedback results,Specified for feedback results
557,703,Where or when was this?,At School / Training / Internship,Treated unfairly/unequally at school/education/internship
558,704,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,Local residents are always there for each other.,Local residents are always there for each other
559,705,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Helping organize (social and/or youth) activities for the neighbourhood.,Help organize activities for the neighborhood
560,706,On what basis did you feel you were treated unfairly or unequally?,Age (recalculated without N/A),Feeling of being treated unfairly/unequally by age (recalculated without N/A)
561,707,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drunk people on the street,Drunk people on the street is (sometimes) common in my neighborhood
562,708,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Threat,Threats are common in my neighborhood
563,709,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,shops for daily shopping,Satisfied with shops for daily shopping
564,710,Why didn't you report it to the municipality?,It was already resolved,"Didn't report, was already resolved"
565,711,What do you think of the following statements about your current home?,The house needs urgent maintenance,Urgent maintenance
566,713,Are you getting help with anything?,The education of your children,Get help with raising children
567,715,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc. (recalculated without N/A)",Copes well with general daily activities (recalculated without N/A)
568,716,What were the main reasons you moved at the time?,Living environment / residential area,Moved due to environment / residential area
