VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
318,In wat voor type woning woonde u hiervoor?,,
319,In hoeverre bent u het eens of oneens met onderstaande uitspraken?,De inzet van toezichthouders vergroot de veiligheid in mijn buurt.,De inzet van toezichthouders vergroot de veiligheid in mijn buurt.
320,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Straatmeubilair, zoals vuilnisbakken, bankjes en bushokjes, dat vernield is",Vernielde straatmeubilair komt (soms) vaak voor in mijn buurt
321,Kunt u zich goed redden als het gaat om:,uw psychische/geestelijke gezondheid,Kan zich goed redden met psychische/geestelijke gezondheid
322,Vindt u dat de buurt waarin u woont het afgelopen jaar vooruit of achteruit is gegaan?,,Buurt vooruitgegaan afgelopen jaar
323,Waarom heeft u geen melding gedaan bij de gemeente?,Uit angst voor reactie of wraak,Geen melding gedaan uit angst voor reactie of wraak
324,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?, Mijn buurt is schoon.,Mijn buurt is schoon
325,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Uitstapjes die geld kosten (zoals dierentuin, pretpark, uit eten e.d.).",Vaak uitstapjes gedaan die geld kosten
326,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie (herberekend zonder nvt)
327,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur,Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur
328,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Hem/haar zelf geholpen,Hem/haar zelf geholpen
329,Krijgt u ergens hulp bij?,"Uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d.",Krijg hulp bij dagelijkse activiteiten
330,Kunt u rondkomen met het totale netto-inkomen van uw huishouden?,,Kan rondkomen met het totale netto-inkomen van mijn huishouden
331,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur (herberekend zonder nvt),Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur (herberekend zonder nvt)
332,"Voelt u zich vaak, soms of zelden onveilig in uw eigen buurt?",,Voelt zich vaak onveilig in eigen buurt
333,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Geslacht,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
334,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege zorg voor familielid (mantelzorg),Verhuisd vanwege zorg voor familielid
335,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Slechte dienstverlening verhuurder,Verhuisd vanwege slechte dienstverlening verhuurder
336,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,"Online (Facebook, Instagram, Snapchat, etc.)",Ontmoet de mensen uit mijn buurt online
337,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Huwelijk / samenwonen,verhuisd door huwelijk/samenwonen
338,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,voorzieningen voor jongeren,Tevreden over aanbod voorzieningen voor jongeren in de buurt
339,Waar of wanneer was dit? ,Op straat in mijn buurt (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op straat in mijn buurt (herberekend zonder nvt)
340,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Mensen die op straat worden lastig gevallen,Mensen die op straat  worden lastig gevallen komt (soms) vaak voor in mijn buurt
341,"Beantwoord deze vraag alleen als u, of iemand anders in uw huishouden, weleens te maken heeft gehad met verkoopfraude in de afgelopen 12 maanden. Heeft u, bij de laatste keer dat dit gebeurde, de goederen/diensten gekocht of verkocht via het internet of e",,Heeft goederen/diensten gekocht of verkocht via internet
342,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op school / op het schoolplein,Ontmoet de mensen uit mijn buurt op school / op het schoolplein
343,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,winkels voor dagelijkse boodschappen,Tevreden over winkels voor dagelijkse boodschappen
344,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Ik woon in een gezellige buurt, waar mensen elkaar helpen en dingen samen doen.",Woon in gezellige buurt
345,Komt het wel eens voor dat u à,uw kind(eren) niet toestaat ergens naartoe te gaan  bij u in de buurt omdat u het niet veilig vindt?,Onveilig in buurt voor kinderen
346,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Rondhangende jongeren,Rondhangende jongeren komt (soms) vaak voor in mijn buurt
347,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,gezondheidszorgvoorzieningen,Tevreden over aanbod gezondheidszorgvoorzieningen in de buurt
348,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar heb ik meer contact gehad met mensen in mijn buurt,Meer contact gehad met mensen in mijn buurt
349,Kunt u zich goed redden als het gaat om: ,"het lopen, zitten en gaan staan (herberekend zonder nvt)","Kan zich goed redden met het lopen, zitten en gaan staan (herberekend zonder nvt)"
350,Bent u iemand dieàà,de draad gemakkelijk oppakt als het even tegen heeft gezeten,Kan de draad makkelijk oppakken
351,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Meedenken met buurtgenoten over de toekomst van de buurt.,Meedenken met buurgenoten over de toekomst van de buurt
352,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op de sportvereniging,Ontmoet de mensen uit mijn buurt bij de sportvereniging
353,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Ergens anders:,Ontmoet de mensen uit mijn buurt ergens anders
354,Heeft u in het afgelopen jaar een melding bij de gemeente gedaan van een probleem op het gebied van leefbaarheid of veiligheid?,"Ja, ik heb een medling gedaan + 6 andere antwoorden",
355,Waarom heeft u geen melding gedaan bij de gemeente?,Dit is geen zaak voor de gemeente,Geen zaak  voor de gemeente
356,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,,
357,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,"welzijnsvoorzieningen, zoals buurtwerk, jongerenwerk e.d.",Tevreden over aanbod welzijnsvoorzieningen in de buurt
358,Waar of wanneer was dit? ,In café / restaurant of ander uitgaansgelegenheid,Oneerlijk/ongelijk behandeld in café/restaurant of ander uitgaangsgelegenheid
359,Wat is uw leeftijd?,,Wat is uw leeftijd?
360,"Welk buurthuis, dorps- of wijkcentrum heeft u vooral bezocht (afgelopen 12 maanden)?",,"Welk buurthuis, dorps- of wijkcentrum heeft u vooral bezocht?"
361,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik mij meer betrokken gaan voelen bij de buurt waar ik woon,Voelt meer betrokken bij de buurt waar ik woon
362,Kunt u zich goed redden als het gaat om: ,administratie/financidn (herberekend zonder nvt),Kan zich goed redden met administratie/financiën (herberekend zonder nvt)
363,Waar of wanneer was dit? ,Op straat in mijn buurt,Oneerlijk/ongelijk behandeld op straat in mijn buurt
364,Wilt u zich opgeven voor,Geen van alle,
365, Welke koopprijs wilt u maximaal betalen bij verhuizing? (u kunt uitgaan van de WOZ-waarde),,Maximale koopprijs betaling bij verhuizing
366,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),Hem/haar zelf geholpen,Hem/haar zelf geholpen
367,Waar of wanneer was dit? ,"Anders, namelijk (herberekend zonder nvt)","Anders, namelijk (herberekend zonder nvt)"
368,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gezondheid / behoefte aan extra zorg,Verhuisd vanwege gezondheid / behoefte aan zorg
369,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Iets anders,
370,In hoeverre bent u het eens of oneens met onderstaande uitspraken?,De toezichthouders dragen bij aan het verminderen van overlast in mijn buurt.,De toezichthouders dragen bij aan het verminderen van overlast in mijn buurt.
371, Wilt u bij het liefst gaan kopen of huren?,,Wilt het liefst kopen of huren
372,"Beantwoord deze vraag alleen als u, of iemand anders in uw huishouden, weleens te maken heeft gehad met verkoopfraude in de afgelopen 12 maanden. Heeft u, bij de laatste keer dat dit gebeurde, de goederen/diensten gekocht of verkocht via het internet of e",,Heeft goederen/diensten gekocht of verkocht via internet
373,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege zorg voor familielid (mantelzorg),Verhuisd vanwege zorg voor familielid
374,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik meer gaan sporten,Meer gaan sporten
375,Kunt u zich goed redden als het gaat om:,"uw algemene dagelijkse activiteiten: wassen, aankleden, naar toilet gaan, eten, e.d.",Kan zich goed redden met algemene dagelijkse activiteiten
376,Bent u iemand dieàà,zich door moeilijke tijden heen weet te slaan,Weet zich door moeilijke tijden heen te slaan
377, Naar welk soort woonomgeving wilt u ?,Open antwoord bij gesloten vraag,
378,"Hoe vaak heeft u dit buurthuis, dorps- of wijkcentrum bezocht (afgelopen 12 maanden)?",,Vaak buurthuis/dorpshuis of wijkcentrum bezocht
379,Deze vraag gaat over uw inkomen. In welke categorie valt het netto inkomen per maand van uw huishouden?  Dat is het netto inkomen per maand waarover het huishouden van u en uw eventuele partner beschikt. Het inkomen van eventuele kinderen telt niet mee.,6 antwoorden,
380, Wat voor woningtype heeft uw voorkeur als u gaat ?,Open antwoord bij gesloten vraag,
381,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Bekladde muren of gebouwen/graffiti,Bekladde muren/gebouwen en graffitti komt (soms) vaak voor in mijn buurt
382,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Open antwoord bij gesloten vraag,Hoe ontmoet u vooral de mensen uit uw buurt?
383,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Ik woon in een gezellige buurt, waar mensen elkaar helpen en dingen samen doen.",Woon in gezellige buurt
384,Wat is de belangrijkste reden dat u niet wil verhuizen?,Open antwoord bij gesloten vraag,Belangrijkste reden om niet te verhuizen
385,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast van zwervers en daklozen,Overlast van zwervers/daklozen komt (soms) vaak  voor in mijn buurt
386,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Identiteitsfraude,Identiteitsfraude voorgekomen in huishouden
387,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,"De gemeente betrekt burgers voldoende bij haar plannen, activiteiten en voorzieningen.","De gemeente betrekt burgers voldoende bij haar plannen, activiteiten en voorzieningen"
388,De Gemeente Breda heeft een online burgerpanel: DigiPanel Breda. Een aantal keer per jaar wordt Bredanaars in een korte enquOte om hun mening gevraagd.,Wilt u lid worden van dit DigiPanel Breda?,Ben lid van DigiPanel Breda
389,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","(poging tot) Inbraak in uw woning, zonder diefstal",Slachtoffer geweest van (poging) tot inbraak in woning zonder diefstal
390,Waar of wanneer was dit? ,Bij het vinden van een (huur)huis (herberekend zonder nvt),Oneerlijk/ongelijk behandeld bij vinden van een (huur)huis (herberekend zonder nvt)
391,Kunt u zich goed redden als het gaat om:,boodschappen doen,Kan zich goed redden met boodschappen doen
392,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Leden van) Motorbendes,(Leden van) motorbendes komen voor in de buurt
393,In wat voor type woning woont u?,In wat voor type woning woont u?,Type woning
394,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Overige diefstal,Slachtoffer geweest van overige diefstal
395,Bent u iemand dieàà,opziet tegen veranderingen,Ziet op tegen veranderingen
396,Kunt u zich goed redden als het gaat om:,het aangaan en onderhouden van sociale contacten,Kan zich goed redden met het aangaan en onderhouden van sociale contacten
397,Krijgt u ergens hulp bij?,Huishoudelijke taken,Krijg hulp bij huishoudelijke taken
398,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Meedenken met buurtgenoten over de toekomst van de buurt.,Meedenken met buurgenoten over de toekomst van de buurt
399,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Straatroof,Straatroof komt vaak voor in mijn buurt
400,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur,Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur
401,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege zorg voor familielid (mantelzorg),Verhuisd vanwege zorg voor familielid
402,Hoe waardeert u û over het algemeen û de werkzaamheden en de inzet van toezichthouders in uw buurt?,,Hoe waardeert u over het algemeen de werkzaamheden en de inzet van toezichthouders in uw buurt?
403,Heeft u het afgelopen jaar vrijwilligerswerk gedaan?,,Heeft vrijwilligerswerk gedaan
404,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Scheiding,Verhuisd vanwege scheiding
405,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,"ik heb nu geen betaald werk, aar ben wl op zoek naar werk",Op zoek naar werk
406,Kunt u zich goed redden als het gaat om: ,het aangaan en onderhouden van sociale contacten (herberekend zonder nvt),Kan zich goed redden met het aangaan en onderhouden van sociale contacten (herberekend zonder nvt)
407,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Religieuze of maatschappelijke vereniging,Actief bij religieuze of maatschappelijke vereniging
408,"Hoe vaak heeft u dit buurthuis, dorps- of wijkcentrum bezocht (afgelopen 12 maanden)?",,Vaak buurthuis/dorpshuis of wijkcentrum bezocht
409,Kunt u zich goed redden als het gaat om: ,huishoudelijke taken (herberekend zonder nvt),Kan zich goed redden met huishoudelijke taken (herberekend zonder nvt)
410,Is er de afgelopen jaren een toename van overlast door mensen met verward gedrag in uw buurt?,,Toename van overlast door mensen met verward gedrag 
411,Waar of wanneer was dit? ,Op het werk / bij het vinden van werk (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op het werk / bij het vinden van werk (herberekend zonder nvt)
412,Vindt u dat de buurt waarin u woont het afgelopen jaar vooruit of achteruit is gegaan?,,Buurt vooruitgegaan afgelopen jaar
413,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op de sportvereniging,Ontmoet de mensen uit mijn buurt bij de sportvereniging
414,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,"Vanwege de buren (ruzie, irritatie, overlast)",Verhuisd vanwege de buren
415,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege studie / werk,Verhuisd vanwege studie/werken
416,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",De veiligheid,De veiligheid is veranderd in mijn buurt
417,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Huiselijk geweld,Slachtoffer geweest van huiselijk geweld
418,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,"hulp aan buren (helpen met klussen, boodschap e.d.)",Geef hulp aan buren
419,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Overige diefstal,Slachtoffer geweest van overige diefstal
420,In welke mate voelt u zich gelukkig?,,In welke mate voelt u zich gelukkig?
421,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,In een zorginstelling,Actief bij zorginstelling
422,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt is voldoende parkeergelegenheid.,In mijn buurt is voldoende parkeergelegenheid
423,"Voelt u zich vaak, soms of zelden onveilig?",,Voelt zich vaak onveilig
424,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Wietplantages,Wietplantages komen voor in de buurt
425,Waarom heeft u geen melding gedaan bij de gemeente?,Door schuld- of schaamtegevoel,Geen melding gedaan door schuld- of schaamtegevoel
426,Komt het wel eens voor dat u à,zich niet op uw gemak voelt als u Æs avonds alleen  thuis bent?,Voelt zich thuis ongemakkelijk alleen
427,Woont u in een koopwoning of in een huurwoning?,,Woont in een koopwoning of huurwoning
428,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt zijn weinig tot geen dingen kapot.,In mijn buurt zijn weinig tot geen dingen kapot
429,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Overige (vrijetijds)vereniging,Actief bij overige (vrijetijds)vereniging
430,Waardering dienstverlening gemeente (in het algemeen) in rapportcijfer.,,Rapportcijfer waardering dienstverlening gemeente
431,Bent u iemand dieàà,gemakkelijk zelf hulp regelt en organiseert als dat nodig is,Kan zelf hulp regelen 
432,"Heeft u of iemand in uw huishouden in de afgelopen 12 maanden te maken gehad met cyberpesten (roddel, getreiter, pesten, stalken, chantage of bedreiging via internet)?",Uw kind/(TTn van) uw kinderen,Kind(eren) te maken gehad met cyperpesten
433,Buurt op basis importbestand,Onbekend,
434,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Onvoldoende voorzieningen in de buurt,Verhuisd vanwege onvoldoende voorzieningen in de buurt
435,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Fietsendiefstal,Slachtoffer geweest van fietsendiefstal
436,Waarom heeft u geen melding gedaan bij de gemeente?,Door schuld- of schaamtegevoel,Geen melding gedaan door schuld- of schaamtegevoel
437,De Gemeente Breda heeft een online burgerpanel: DigiPanel Breda. Een aantal keer per jaar wordt Bredanaars in een korte enquOte om hun mening gevraagd.,Wilt u lid worden van dit DigiPanel Breda?,Ben lid van DigiPanel Breda
438,In wat voor type woning woont u?,In wat voor type woning woont u?,Type woning
439,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Uitstapjes die geen geld kosten (wandelen, strand, het bos in, speeltuin).",Vaak uitstapjes gedaan die geen geld kosten
440,Woont u in een koopwoning of in een huurwoning?,,Woont in een koopwoning of huurwoning
441,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Overlast van zwervers en daklozen,Overlast van zwervers/daklozen komt (soms) vaak  voor in mijn buurt
442,Krijgt u ergens hulp bij?,Het aangaan en onderhouden van sociale contacten,Hulp bij aangaan en onderhouden van sociale contacten
443,In wat voor type woning woonde u hiervoor?,,
444,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Wietplantages,Wietplantages komen voor in de buurt
445,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Parkeerproblemen, bijvoorbeeld fout geparkeerde voertuigen of drukte",Parkeerproblemen komt (soms) vaak voor in mijn buurt
446,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?, Mijn buurt is schoon.,Mijn buurt is schoon
447,Komt het wel eens voor dat u à,"æs avonds of æs nachts niet open doet, omdat u  het niet veilig vindt?","Doet 's nachts niet open, vindt het onveilig"
448,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente ondersteunt buurtinitiatieven op het gebied van leefbaarheid en veiligheid voldoende. (herberekend zonder nvt),De gemeente ondersteunt buurtinitiatieven op het gebied van leefbaarheid en veiligheid voldoende (herberekend zonder nvt)
449,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Geweldsdelicten,Geweldsdelicten komt  (soms) vaak voor in mijn buurt
450,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Uitstapjes die geld kosten (zoals dierentuin, pretpark, uit eten e.d.).",Vaak uitstapjes gedaan die geld kosten
451,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Vrouwen en meisjes die op straat worden nagefloten, nageroepen, of op een andere manier ongewenst aandacht krijgen",Ongewenste aandacht op straat
452,Kunt u zich goed redden als het gaat om:,het aangaan en onderhouden van sociale contacten,Kan zich goed redden met het aangaan en onderhouden van sociale contacten
453,Hoe vaak heeft een persoon of hebben personen met verward gedrag in de afgelopen 12 maanden overlast veroorzaakt in uw buurt?,,Vaak overlast van personen met verward gedrag
454,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,basisonderwijs,Tevreden over aanbod basisonderwijs in de buurt
455,Hoe prettig vindt u uw buurt om in te wonen?,,Prettig om in mijn buurt te wonen
456,Kunt u zich goed redden als het gaat om: ,uw lichamelijke gezondheid (herberekend zonder nvt),Kan zich goed redden met lichamelijke gezondheid (herberekend zonder nvt)
457,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,voorzieningen voor jongeren,Tevreden over aanbod voorzieningen voor jongeren in de buurt
458,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het organiseren van (sociale en of jeugd-) activiteiten voor de buurt.,Helpen met organiseren van activiteiten voor de buurt
459,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,In het buurthuis/gemeenschapshuis,Ontmoet de mensen uit mijn buurt in het buurthuis/gemeenschapshuis
460,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben huisvrouw/huisman.,Ik ben huisvrouw/huisman
461,Komt het wel eens voor dat u à,zich onveilig voelt als u Æs avonds bij u in de buurt  over straat loopt?,Onveilig om 's avonds in de buurt op straat te lopen
462,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"straten, paden en trottoirs in mijn buurt zijn goed begaanbaar.","Straten, paden en trottoirs in mijn buurt zijn goed begaanbaar"
463,Heeft u het afgelopen jaar vrijwilligerswerk gedaan?,,Heeft vrijwilligerswerk gedaan
464,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),"Melding gedaan bij een andere organisatie: GGD Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling","Melding gedaan bij  ondere organisatie: GGD, Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling"
465,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",mensen in de buurt,Kan terugvallen op mensen in de buurt
466,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Mensen die op straat worden lastig gevallen,Mensen die op straat  worden lastig gevallen komt (soms) vaak voor in mijn buurt
467,Waar of wanneer was dit? ,Bij het vinden van een (huur)huis (herberekend zonder nvt),Oneerlijk/ongelijk behandeld bij vinden van een (huur)huis (herberekend zonder nvt)
468, U heeft aangegeven dat u wilt verhuizen binnen Breda. Heeft u daarbij nog een voorkeur voor een buurt?,,Voorkeur van buurt om te verhuizen
469,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Geluidsoverlast door verkeer,Geluidsoverlast  door verkeer komt (soms) vaak  voor in mijn buurt
470,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de veiligheid in uw buurt,Tevreden over de veiligheid in buurt
471,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden.","Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden"
472,Kunt u zich goed redden als het gaat om:,boodschappen doen,Kan zich goed redden met boodschappen doen
473,In welke mate heeft u zich de afgelopen 12 maanden ingezet voor anderen?,mantelzorg aan een gezinslid of familielid,Geef mantelzorg aan gezinslid/familielid
474,Bent u iemand dieàà,gemakkelijk zelf hulp regelt en organiseert als dat nodig is,Kan zelf hulp regelen 
475,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?,In welk soort woonomgeving woont u op dit moment?
476,Waarom heeft u geen melding gedaan bij de gemeente?,Op advies van de politie,Geen melding gedaan op advies van de politie
477,Waar of wanneer was dit? ,In café / restaurant of ander uitgaansgelegenheid (herberekend zonder nvt),Oneerlijk/ongelijk behandeld in café/restaurant of ander uitgaangsgelegenheid (herberekend zonder nvt)
478,Kunt u zich goed redden als het gaat om:,"het lopen, zitten en gaan staan","Kan zich goed redden met het lopen, zitten en gaan staan"
479,Wat vindt u van de volgende stellingen over uw huidige woning?,Het is een prettige woning.,Prettige woning
480," Welke huurprijs wilt u maximaal betalen bij verhuizing? Hierbij gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag.",,Maximale huurprijs  betaling bij verhuizing
481,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik studeer/volg een opleiding/zit op school.,Studeer/volg een opleiding/zit op school
482,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben gepensioneerd/met prT-pensioen.,Ben gepensioneerd/met pré-pensioen
483,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Uitbuiting van mensen/mensenhandel,Uitbuiting van mensen/mensenhandel komen voor in de buurt
484,Krijgt u ergens hulp bij?,"Het lopen, zitten en gaan staan","Krijg hulp bij het lopen, zitten en gaan staan"
485,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de verkeersveiligheid in de buurt,Tevreden over de verkeersveiligheid in buurt
486,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Straatroof,Straatroof komt vaak voor in mijn buurt
487,Waar of wanneer was dit? ,Op School / opleiding / stage,Oneerlijk/ongelijk behandeld op school/opleiding/stage
488,Waarom heeft u geen melding gedaan bij de gemeente?,Dit is geen zaak voor de gemeente,Geen zaak  voor de gemeente
489,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Herkomst / Huidskleur,Gevoel oneerlijk/ongelijk behandeld te zijn op herkomst/huidskleur
